policy,k,theoretical_bmax,measured_bmax,total_hbm_bytes,dense_resident_bytes,fixed_workspace_bytes,safety_margin_bytes,persistent_expert_bytes,transient_expert_bytes,kv_budget_bytes,kv_bytes_per_request,source
stream2,0,186,157,85028372480,3082186752,0,2147483648,0,18874368,79779827712,427819008,experiments/results/completion_4k256_1200/bmax/stream2_k0.json
permanent_k,2,184,155,85028372480,3082186752,0,2147483648,905969664,18874368,78873858048,427819008,experiments/results/completion_4k256_1200/bmax/permanent_k_k2.json
quota_lru_k,2,184,154,85028372480,3082186752,0,2147483648,905969664,18874368,78873858048,427819008,experiments/results/completion_4k256_1200/bmax/quota_lru_k_k2.json
permanent_k,4,182,152,85028372480,3082186752,0,2147483648,1811939328,18874368,77967888384,427819008,experiments/results/completion_4k256_1200/bmax/permanent_k_k4.json
quota_lru_k,4,182,152,85028372480,3082186752,0,2147483648,1811939328,18874368,77967888384,427819008,experiments/results/completion_4k256_1200/bmax/quota_lru_k_k4.json
permanent_k,8,178,148,85028372480,3082186752,0,2147483648,3623878656,18874368,76155949056,427819008,experiments/results/completion_4k256_1200/bmax/permanent_k_k8.json
quota_lru_k,8,178,148,85028372480,3082186752,0,2147483648,3623878656,18874368,76155949056,427819008,experiments/results/completion_4k256_1200/bmax/quota_lru_k_k8.json
permanent_k,16,169,141,85028372480,3082186752,0,2147483648,7247757312,18874368,72532070400,427819008,experiments/results/completion_4k256_1200/bmax/permanent_k_k16.json
quota_lru_k,16,169,140,85028372480,3082186752,0,2147483648,7247757312,18874368,72532070400,427819008,experiments/results/completion_4k256_1200/bmax/quota_lru_k_k16.json
permanent_k,32,152,126,85028372480,3082186752,0,2147483648,14495514624,18874368,65284313088,427819008,experiments/results/completion_4k256_1200/bmax/permanent_k_k32.json
quota_lru_k,32,152,126,85028372480,3082186752,0,2147483648,14495514624,18874368,65284313088,427819008,experiments/results/completion_4k256_1200/bmax/quota_lru_k_k32.json
permanent_k,48,135,111,85028372480,3082186752,0,2147483648,21743271936,18874368,58036555776,427819008,experiments/results/completion_4k256_1200/bmax/permanent_k_k48.json
quota_lru_k,48,135,111,85028372480,3082186752,0,2147483648,21743271936,18874368,58036555776,427819008,experiments/results/completion_4k256_1200/bmax/quota_lru_k_k48.json
permanent_k,64,118,97,85028372480,3082186752,0,2147483648,28991029248,18874368,50788798464,427819008,experiments/results/completion_4k256_1200/bmax/permanent_k_k64.json
quota_lru_k,64,118,97,85028372480,3082186752,0,2147483648,28991029248,18874368,50788798464,427819008,experiments/results/completion_4k256_1200/bmax/quota_lru_k_k64.json
permanent_k,96,84,68,85028372480,3082186752,0,2147483648,43486543872,18874368,36293283840,427819008,experiments/results/completion_4k256_1200/bmax/permanent_k_k96.json
quota_lru_k,96,84,68,85028372480,3082186752,0,2147483648,43486543872,18874368,36293283840,427819008,experiments/results/completion_4k256_1200/bmax/quota_lru_k_k96.json
full_resident,128,50,38,85028372480,3082186752,0,2147483648,57982058496,18874368,21797769216,427819008,experiments/results/completion_4k256_1200/bmax/full_resident_k128.json
