policy,k,batch_size,requests,waves,generated_tokens,expert_token_assignments,expert_executions,hits,misses,fetches,compulsory_loads,refetches,evictions,h2d_bytes,h2d_bytes_per_generated_token,hit_rate,refetch_ratio,tokens_per_expert_fetch,average_evicted_resident_lifetime,trace_sha256,retain_state_across_waves,persistent_expert_bytes,h2d_reduction_vs_stream2,refetch_savings_per_reserved_gib
stream2,0,50,1273,26,325888,125140992,33691149,0,33691149,33691149,6129,33685020,0,317949572284416,975640625.8727416,0.0,0.9998180827848882,3.714358094465701,,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,0,0.0,
permanent_k,1,50,1273,26,325888,125140992,33691149,319072,33372077,33372077,6081,33365996,0,314938431111168,966400822.0958366,0.009470499210341566,0.999817781794043,3.749871247150724,,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,452984832,0.009470499210341566,6647.333333333333
quota_lru_k,1,50,1273,26,325888,125140992,33691149,0,33691149,33691149,6129,33685020,33691101,317949572284416,975640625.8727416,0.0,0.9998180827848882,3.714358094465701,47.995182199596265,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,452984832,0.0,0.0
permanent_k,2,50,1273,26,325888,125140992,33691149,637880,33053269,33053269,6033,33047236,0,311929781354496,957168663.3275727,0.018933162534765437,0.9998174764499088,3.7860398013884797,,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,905969664,0.018933162534765437,6644.583333333333
quota_lru_k,2,50,1273,26,325888,125140992,33691149,0,33691149,33691149,6129,33685020,33691053,317949572284416,975640625.8727416,0.0,0.9998180827848882,3.714358094465701,95.99049830826006,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,905969664,0.0,0.0
permanent_k,4,50,1273,26,325888,125140992,33691149,1274830,32416319,32416319,5937,32410382,0,305918767005696,938723632.0628437,0.037838721380502635,0.9998168515061812,3.8604319015986976,,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,1811939328,0.037838721380502635,6639.739583333333
quota_lru_k,4,50,1273,26,325888,125140992,33691149,0,33691149,33691149,6129,33685020,33690957,317949572284416,975640625.8727416,0.0,0.9998180827848882,3.714358094465701,191.9815322550796,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,1811939328,0.0,0.0
permanent_k,8,50,1273,26,325888,125140992,33691149,2546101,31145048,31145048,5745,31139303,0,293921548664832,901909701.077769,0.07557180670804667,0.9998155404994078,4.018006072747102,,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,3623878656,0.07557180670804667,6630.471354166667
quota_lru_k,8,50,1273,26,325888,125140992,33691149,0,33691149,33691149,6129,33685020,33690765,317949572284416,975640625.8727416,0.0,0.9998180827848882,3.714358094465701,383.9652070827124,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,3623878656,0.0,0.0
permanent_k,16,50,1273,26,325888,125140992,33691149,5083099,28608050,28608050,5361,28602689,0,269979431731200,828442384.2890809,0.1508734237588632,0.9998126051932935,4.374327925181898,,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,7247757312,0.1508734237588632,6618.618489583333
quota_lru_k,16,50,1273,26,325888,125140992,33691149,0,33691149,33691149,6129,33685020,33690381,317949572284416,975640625.8727416,0.0,0.9998180827848882,3.714358094465701,767.9389846021628,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,7247757312,0.0,0.0
permanent_k,32,50,1273,26,325888,125140992,33691149,10119093,23572056,23572056,4593,23567463,0,222453829730304,682608226.5388845,0.30034870582775314,0.9998051506410811,5.30887046933878,,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,14495514624,0.30034870582775314,6587.951171875
quota_lru_k,32,50,1273,26,325888,125140992,33691149,35,33691114,33691114,6129,33684985,33689578,317949241982976,975639612.3299294,1.0388485118153732e-06,0.9998180825959034,3.714361953125088,1535.9138477780873,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,14495514624,1.0388485118153732e-06,0.022786458333333332
permanent_k,48,50,1273,26,325888,125140992,33691149,15073981,18617168,18617168,3825,18613343,0,175693639974912,539122766.0267086,0.4474166493995203,0.9997945444763672,6.721806023343615,,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,21743271936,0.4474166493995203,6542.526475694444
quota_lru_k,48,50,1273,26,325888,125140992,33691149,1953,33689196,33689196,6129,33683067,33686892,317931141464064,975584070.1838177,5.796774695929782e-05,0.9998180722389457,3.7145734199177682,2304.051578400287,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,21743271936,5.796774695929782e-05,0.84765625
permanent_k,64,50,1273,26,325888,125140992,33691149,19867645,13823504,13823504,3057,13820447,0,130454950772736,400306089.12490183,0.5896992411864612,0.9997788549126184,9.052769254452416,,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,28991029248,0.5896992411864612,6467.332356770833
quota_lru_k,64,50,1273,26,325888,125140992,33691149,24142,33667007,33667007,6129,33660878,33663935,317721739788288,974941512.9992144,0.0007165680220641926,0.9998179523353531,3.717021593276765,3074.139679749263,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,28991029248,0.0007165680220641926,7.858723958333333
permanent_k,96,50,1273,26,325888,125140992,33691149,28629377,5061772,5061772,1521,5060251,0,47768873730048,146580646.51060486,0.849759591161465,0.9996995123446888,24.722763490730124,,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,43486543872,0.849759591161465,6212.972439236111
quota_lru_k,96,50,1273,26,325888,125140992,33691149,2412754,31278395,31278395,6129,31272266,31273787,295179968839680,905771212.3173605,0.07161388292218826,0.9998040500479645,4.000876387679099,4959.818479482514,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,43486543872,0.07161388292218826,523.6011284722222
full_resident,128,50,1273,26,325888,125140992,33691149,33691149,0,0,0,0,0,0,0.0,1.0,0.0,,,2dd67a486095614f1ec2071bbf0ac2cfc34fe097def9062bf1c9511f2dbaadac,True,57982058496,1.0,5483.58544921875
