k,policy_endpoint,total_hbm_bytes,dense_resident_bytes,fixed_workspace_bytes,safety_margin_bytes,persistent_expert_bytes,transient_expert_bytes,kv_budget_bytes,kv_bytes_per_request,theoretical_bmax
0,stream2,85028372480,3082186752,0,2147483648,0,18874368,79779827712,427819008,186
1,permanent_k|quota_lru_k,85028372480,3082186752,0,2147483648,452984832,18874368,79326842880,427819008,185
2,permanent_k|quota_lru_k,85028372480,3082186752,0,2147483648,905969664,18874368,78873858048,427819008,184
4,permanent_k|quota_lru_k,85028372480,3082186752,0,2147483648,1811939328,18874368,77967888384,427819008,182
8,permanent_k|quota_lru_k,85028372480,3082186752,0,2147483648,3623878656,18874368,76155949056,427819008,178
16,permanent_k|quota_lru_k,85028372480,3082186752,0,2147483648,7247757312,18874368,72532070400,427819008,169
32,permanent_k|quota_lru_k,85028372480,3082186752,0,2147483648,14495514624,18874368,65284313088,427819008,152
48,permanent_k|quota_lru_k,85028372480,3082186752,0,2147483648,21743271936,18874368,58036555776,427819008,135
64,permanent_k|quota_lru_k,85028372480,3082186752,0,2147483648,28991029248,18874368,50788798464,427819008,118
96,permanent_k|quota_lru_k,85028372480,3082186752,0,2147483648,43486543872,18874368,36293283840,427819008,84
128,full_resident,85028372480,3082186752,0,2147483648,57982058496,18874368,21797769216,427819008,50
