policy,k,batch_size,requests,waves,generated_tokens,expert_token_assignments,expert_executions,hits,misses,fetches,compulsory_loads,refetches,evictions,admissions,bypasses,h2d_bytes,h2d_bytes_per_generated_token,hit_rate,refetch_ratio,tokens_per_expert_fetch,average_evicted_resident_lifetime,trace_sha256,retain_state_across_waves,access_order,admission_policy,random_seed,window_size,window_min_frequency,persistent_expert_bytes,h2d_reduction_vs_stream2,refetch_savings_per_reserved_gib,measured_bmax,physical_fixed_batch_feasible,evidence_scope
stream2,0,40,1200,30,307200,117964800,37263419,0,37263419,37263419,6129,37257290,0,0,0,351661741572096,1144732231.68,0.0,0.9998355223389459,3.165699851642706,,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,not_applicable,,,,0,0.0,,157,True,cache_simulation_physical_batch_feasible
permanent_k,8,40,1200,30,307200,117964800,37263419,2932534,34330885,34330885,5745,34325140,0,0,0,323986878627840,1054644787.2,0.07869739489014682,0.9998326579696387,3.436112992717782,,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,not_applicable,,,,3623878656,0.07869739489014682,7636.807291666667,,,cache_simulation_bmax_unknown
quota_lru_k,8,40,1200,30,307200,117964800,37263419,0,37263419,37263419,6129,37257290,37263035,37263419,0,351661741572096,1144732231.68,0.0,0.9998355223389459,3.165699851642706,383.9666616527612,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,always_admit,,,,3623878656,0.0,0.0,,,cache_simulation_bmax_unknown
quota_lru_resident_hit_first,8,40,1200,30,307200,117964800,37263419,2578951,34684468,34684468,6129,34678339,34684084,34684468,0,327323706458112,1065506856.96,0.06920865205632365,0.9998232926622949,3.4010843124363332,412.51667917768856,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,resident_hit_first,always_admit,,,,3623878656,0.06920865205632365,6716.018229166667,,,cache_simulation_bmax_unknown
quota_lru_miss_bypass,8,40,1200,30,307200,117964800,37263419,2601023,34662396,34662396,6129,34656267,0,384,34662012,327115408932864,1064828805.12,0.06980097558949167,0.9998231801402303,3.4032500234548126,,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,miss_bypass_when_full,,,,3623878656,0.06980097558949167,6773.497395833333,,,cache_simulation_bmax_unknown
quota_lru_no_admission,8,40,1200,30,307200,117964800,37263419,0,37263419,37263419,6129,37257290,0,0,37263419,351661741572096,1144732231.68,0.0,0.9998355223389459,3.165699851642706,,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,no_admission,,,,3623878656,0.0,0.0,,,cache_simulation_bmax_unknown
quota_lru_window_frequency,8,40,1200,30,307200,117964800,37263419,0,37263419,37263419,6129,37257290,37054290,37054674,208745,351661741572096,1144732231.68,0.0,0.9998355223389459,3.165699851642706,386.09229862453174,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,window_frequency,,8,2,3623878656,0.0,0.0,,,cache_simulation_bmax_unknown
quota_lru_random_order_seed731,8,40,1200,30,307200,117964800,37263419,120873,37142546,37142546,6129,37136417,37142162,37142546,0,350521040830464,1141019013.12,0.003243744220035204,0.9998349870792379,3.1760019897397447,385.21621740813043,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,random_expert_order,always_admit,731,,,3623878656,0.003243744220035204,314.7734375,,,cache_simulation_bmax_unknown
quota_lru_random_order_seed732,8,40,1200,30,307200,117964800,37263419,120741,37142678,37142678,6129,37136549,37142294,37142678,0,350522286538752,1141023068.16,0.003240201871975301,0.9998349876656712,3.1759907026628507,385.21484838820135,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,random_expert_order,always_admit,732,,,3623878656,0.003240201871975301,314.4296875,,,cache_simulation_bmax_unknown
quota_lru_random_order_seed733,8,40,1200,30,307200,117964800,37263419,121519,37141900,37141900,6129,37135771,37141516,37141900,0,350514944409600,1140999168.0,0.003261080256752608,0.9998349842092085,3.1760572291670592,385.22291744903464,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,random_expert_order,always_admit,733,,,3623878656,0.003261080256752608,316.4557291666667,,,cache_simulation_bmax_unknown
