policy,k,batch_size,layer_id,accesses,hits,misses,fetches,compulsory_loads,refetches,evictions,admissions,bypasses,hit_rate,h2d_bytes,h2d_reduction_vs_stream2
stream2,0,40,0,835525,0,835525,835525,128,835397,0,0,0,0.0,7885003161600,0.0
stream2,0,40,1,833321,0,833321,833321,128,833193,0,0,0,0.0,7864203608064,0.0
stream2,0,40,2,771712,0,771712,771712,128,771584,0,0,0,0.0,7282788139008,0.0
stream2,0,40,3,812190,0,812190,812190,128,812062,0,0,0,0.0,7664786472960,0.0
stream2,0,40,4,783878,0,783878,783878,128,783750,0,0,0,0.0,7397600919552,0.0
stream2,0,40,5,789848,0,789848,789848,128,789720,0,0,0,0.0,7453940908032,0.0
stream2,0,40,6,785541,0,785541,785541,128,785413,0,0,0,0.0,7413294956544,0.0
stream2,0,40,7,785500,0,785500,785500,128,785372,0,0,0,0.0,7412908032000,0.0
stream2,0,40,8,811106,0,811106,811106,128,810978,0,0,0,0.0,7654556565504,0.0
stream2,0,40,9,792899,0,792899,792899,128,792771,0,0,0,0.0,7482733756416,0.0
stream2,0,40,10,790926,0,790926,790926,128,790798,0,0,0,0.0,7464114192384,0.0
stream2,0,40,11,802109,0,802109,802109,128,801981,0,0,0,0.0,7569650221056,0.0
stream2,0,40,12,775408,0,775408,775408,128,775280,0,0,0,0.0,7317667971072,0.0
stream2,0,40,13,765542,0,765542,765542,128,765414,0,0,0,0.0,7224560713728,0.0
stream2,0,40,14,769261,0,769261,769261,128,769133,0,0,0,0.0,7259657601024,0.0
stream2,0,40,15,783090,0,783090,783090,128,782962,0,0,0,0.0,7390164418560,0.0
stream2,0,40,16,751494,0,751494,751494,128,751366,0,0,0,0.0,7091987152896,0.0
stream2,0,40,17,735616,0,735616,735616,128,735488,0,0,0,0.0,6942143545344,0.0
stream2,0,40,18,768731,0,768731,768731,128,768603,0,0,0,0.0,7254655893504,0.0
stream2,0,40,19,780563,0,780563,780563,128,780435,0,0,0,0.0,7366316654592,0.0
stream2,0,40,20,791661,0,791661,791661,128,791533,0,0,0,0.0,7471050522624,0.0
stream2,0,40,21,774079,0,774079,774079,128,773951,0,0,0,0.0,7305125953536,0.0
stream2,0,40,22,785935,0,785935,785935,128,785807,0,0,0,0.0,7417013207040,0.0
stream2,0,40,23,785459,0,785459,785459,128,785331,0,0,0,0.0,7412521107456,0.0
stream2,0,40,24,776115,0,776115,776115,128,775987,0,0,0,0.0,7324340060160,0.0
stream2,0,40,25,761251,0,761251,761251,128,761123,0,0,0,0.0,7184065757184,0.0
stream2,0,40,26,778850,0,778850,778850,128,778722,0,0,0,0.0,7350150758400,0.0
stream2,0,40,27,786252,0,786252,786252,128,786124,0,0,0,0.0,7420004794368,0.0
stream2,0,40,28,756158,0,756158,756158,128,756030,0,0,0,0.0,7136002179072,0.0
stream2,0,40,29,771640,0,771640,771640,128,771512,0,0,0,0.0,7282108661760,0.0
stream2,0,40,30,768942,0,768942,768942,128,768814,0,0,0,0.0,7256647139328,0.0
stream2,0,40,31,779981,0,779981,779981,128,779853,0,0,0,0.0,7360824213504,0.0
stream2,0,40,32,798364,0,798364,798364,128,798236,0,0,0,0.0,7534307966976,0.0
stream2,0,40,33,785681,0,785681,785681,128,785553,0,0,0,0.0,7414616162304,0.0
stream2,0,40,34,783716,0,783716,783716,128,783588,0,0,0,0.0,7396072095744,0.0
stream2,0,40,35,794747,0,794747,794747,128,794619,0,0,0,0.0,7500173672448,0.0
stream2,0,40,36,781106,0,781106,781106,128,780978,0,0,0,0.0,7371441045504,0.0
stream2,0,40,37,768246,0,768246,768246,128,768118,0,0,0,0.0,7250078859264,0.0
stream2,0,40,38,776922,0,776922,776922,128,776794,0,0,0,0.0,7331955867648,0.0
stream2,0,40,39,783331,0,783331,783331,128,783203,0,0,0,0.0,7392438779904,0.0
stream2,0,40,40,764502,0,764502,764502,128,764374,0,0,0,0.0,7214746042368,0.0
stream2,0,40,41,745064,0,745064,745064,128,744936,0,0,0,0.0,7031306059776,0.0
stream2,0,40,42,737151,0,737151,737151,127,737024,0,0,0,0.0,6956629622784,0.0
stream2,0,40,43,733987,0,733987,733987,125,733862,0,0,0,0.0,6926770372608,0.0
stream2,0,40,44,739696,0,739696,739696,126,739570,0,0,0,0.0,6980647256064,0.0
stream2,0,40,45,731526,0,731526,731526,128,731398,0,0,0,0.0,6903545462784,0.0
stream2,0,40,46,752250,0,752250,752250,126,752124,0,0,0,0.0,7099121664000,0.0
stream2,0,40,47,746547,0,746547,746547,121,746426,0,0,0,0.0,7045301403648,0.0
permanent_k,8,40,0,835525,60947,774578,774578,120,774458,0,0,0,0.07294455581819814,7309835108352,0.07294455581819814
permanent_k,8,40,1,833321,60966,772355,772355,120,772235,0,0,0,0.07316028277218503,7288856248320,0.073160282772185
permanent_k,8,40,2,771712,61118,710594,710594,120,710474,0,0,0,0.07919793912755017,6706006327296,0.07919793912755013
permanent_k,8,40,3,812190,60931,751259,751259,120,751139,0,0,0,0.07502062325317968,7089769414656,0.07502062325317971
permanent_k,8,40,4,783878,61054,722824,722824,120,722704,0,0,0,0.07788712018962135,6821423087616,0.0778871201896213
permanent_k,8,40,5,789848,61108,728740,728740,120,728620,0,0,0,0.07736678449524466,6877253468160,0.0773667844952447
permanent_k,8,40,6,785541,61138,724403,724403,120,724283,0,0,0,0.07782916486854283,6836324401152,0.07782916486854285
permanent_k,8,40,7,785500,60997,724503,724503,120,724383,0,0,0,0.07765372374283895,6837268119552,0.07765372374283896
permanent_k,8,40,8,811106,60932,750174,750174,120,750054,0,0,0,0.07512211720786185,7079530070016,0.07512211720786188
permanent_k,8,40,9,792899,60965,731934,731934,120,731814,0,0,0,0.07688873362181059,6907395833856,0.07688873362181059
permanent_k,8,40,10,790926,60858,730068,730068,120,729948,0,0,0,0.07694525151531244,6889786048512,0.0769452515153124
permanent_k,8,40,11,802109,60895,741214,741214,120,741094,0,0,0,0.07591860956553287,6994972901376,0.07591860956553287
permanent_k,8,40,12,775408,60951,714457,714457,120,714337,0,0,0,0.07860506984709985,6742462169088,0.0786050698470998
permanent_k,8,40,13,765542,60871,704671,704671,120,704551,0,0,0,0.07951359951511477,6650109886464,0.07951359951511483
permanent_k,8,40,14,769261,61150,708111,708111,120,707991,0,0,0,0.07949187596927441,6682573799424,0.07949187596927443
permanent_k,8,40,15,783090,61036,722054,722054,120,721934,0,0,0,0.07794250980091688,6814156455936,0.07794250980091688
permanent_k,8,40,16,751494,61278,690216,690216,120,690096,0,0,0,0.08154156919416522,6513695391744,0.08154156919416522
permanent_k,8,40,17,735616,61271,674345,674345,120,674225,0,0,0,0.08329209805115713,6363917844480,0.08329209805115712
permanent_k,8,40,18,768731,61266,707465,707465,120,707345,0,0,0,0.07969757951741246,6676477378560,0.07969757951741241
