policy,k,batch_size,layer_id,accesses,hits,misses,fetches,compulsory_loads,refetches,evictions,hit_rate,h2d_bytes,h2d_reduction_vs_stream2
stream2,0,50,0,750647,0,750647,750647,128,750519,0,0.0,7083993858048,0.0
stream2,0,50,1,750519,0,750519,750519,128,750391,0,0.0,7082785898496,0.0
stream2,0,50,2,695582,0,695582,695582,128,695454,0,0.0,6564335321088,0.0
stream2,0,50,3,731407,0,731407,731407,128,731279,0,0.0,6902422437888,0.0
stream2,0,50,4,707788,0,707788,707788,128,707660,0,0.0,6679525588992,0.0
stream2,0,50,5,713851,0,713851,713851,128,713723,0,0.0,6736743235584,0.0
stream2,0,50,6,711032,0,711032,711032,128,710904,0,0.0,6710139813888,0.0
stream2,0,50,7,710291,0,710291,710291,128,710163,0,0.0,6703146860544,0.0
stream2,0,50,8,731917,0,731917,731917,128,731789,0,0.0,6907235401728,0.0
stream2,0,50,9,716962,0,716962,716962,128,716834,0,0.0,6766102315008,0.0
stream2,0,50,10,715058,0,715058,715058,128,714930,0,0.0,6748133916672,0.0
stream2,0,50,11,723738,0,723738,723738,128,723610,0,0.0,6830048673792,0.0
stream2,0,50,12,702847,0,702847,702847,128,702719,0,0.0,6632896462848,0.0
stream2,0,50,13,691573,0,691573,691573,128,691445,0,0.0,6526501650432,0.0
stream2,0,50,14,696640,0,696640,696640,128,696512,0,0.0,6574319861760,0.0
stream2,0,50,15,710387,0,710387,710387,128,710259,0,0.0,6704052830208,0.0
stream2,0,50,16,677709,0,677709,677709,128,677581,0,0.0,6395664531456,0.0
stream2,0,50,17,668368,0,668368,668368,128,668240,0,0.0,6307511795712,0.0
stream2,0,50,18,696935,0,696935,696935,128,696807,0,0.0,6577103831040,0.0
stream2,0,50,19,706924,0,706924,706924,128,706796,0,0.0,6671371862016,0.0
stream2,0,50,20,716192,0,716192,716192,128,716064,0,0.0,6758835683328,0.0
stream2,0,50,21,701005,0,701005,701005,128,700877,0,0.0,6615513169920,0.0
stream2,0,50,22,710745,0,710745,710745,128,710617,0,0.0,6707431342080,0.0
stream2,0,50,23,710831,0,710831,710831,128,710703,0,0.0,6708242939904,0.0
stream2,0,50,24,702926,0,702926,702926,128,702798,0,0.0,6633642000384,0.0
stream2,0,50,25,690120,0,690120,690120,128,689992,0,0.0,6512789422080,0.0
stream2,0,50,26,705241,0,705241,705241,128,705113,0,0.0,6655489081344,0.0
stream2,0,50,27,714223,0,714223,714223,128,714095,0,0.0,6740253868032,0.0
stream2,0,50,28,683455,0,683455,683455,128,683327,0,0.0,6449890590720,0.0
stream2,0,50,29,698769,0,698769,698769,128,698641,0,0.0,6594411626496,0.0
stream2,0,50,30,698061,0,698061,698061,128,697933,0,0.0,6587730100224,0.0
stream2,0,50,31,707311,0,707311,707311,128,707183,0,0.0,6675024052224,0.0
stream2,0,50,32,723102,0,723102,723102,128,722974,0,0.0,6824046624768,0.0
stream2,0,50,33,711496,0,711496,711496,128,711368,0,0.0,6714518667264,0.0
stream2,0,50,34,709443,0,709443,709443,128,709315,0,0.0,6695144128512,0.0
stream2,0,50,35,717922,0,717922,717922,128,717794,0,0.0,6775162011648,0.0
stream2,0,50,36,707052,0,707052,707052,128,706924,0,0.0,6672579821568,0.0
stream2,0,50,37,693096,0,693096,693096,128,692968,0,0.0,6540874481664,0.0
stream2,0,50,38,703325,0,703325,703325,128,703197,0,0.0,6637407436800,0.0
stream2,0,50,39,708552,0,708552,708552,128,708424,0,0.0,6686735597568,0.0
stream2,0,50,40,690803,0,690803,690803,128,690675,0,0.0,6519235018752,0.0
stream2,0,50,41,672413,0,672413,672413,128,672285,0,0.0,6345685204992,0.0
stream2,0,50,42,663643,0,663643,663643,127,663516,0,0.0,6262921101312,0.0
stream2,0,50,43,663285,0,663285,663285,125,663160,0,0.0,6259542589440,0.0
stream2,0,50,44,668264,0,668264,668264,126,668138,0,0.0,6306530328576,0.0
stream2,0,50,45,660612,0,660612,660612,128,660484,0,0.0,6234316996608,0.0
stream2,0,50,46,677243,0,677243,677243,126,677117,0,0.0,6391266803712,0.0
stream2,0,50,47,671844,0,671844,671844,121,671723,0,0.0,6340315447296,0.0
